code,ticker,name,price,ma50,ma150,ma200,market_cap,avg_dollar_volume_5d,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_market_cap_gte_min,futu_filter_avg_dollar_volume_5d_gte_min,futu_filter_within_25_pct_of_52w_high
US.BLX,BLX,拉丁美洲出口银行,52.46,51.869,47.014,46.135,1953096712,31148733.19,42.268,-8.055,36.87406866,57.05584861,1.139408895,10.32671119,1.905277989,True,True,True,True,True,True,True
US.BMO,BMO,蒙特利尔银行,151.925,143.814,134.573,130.619,1.072887899e+11,815223494.8,53.51,-2.612,98.96749397,155.9997125,5.63992379,6.866904951,3.027124691,True,True,True,True,True,True,True
US.BNL,BNL,Broadstone Net Lease,19.61,19.366,18.351,18.035,3760542144,137539462.4,37.226,-4.224,14.29029484,20.474858,1.259940101,5.531033731,1.7521486,True,True,True,True,True,True,True
US.BNPQY,BNPQY,法国巴黎银行ADR,50.67,49.952,47.107,46.258,1.115500697e+11,80429327.09,39.032,-9.026,36.44484723,55.69723218,1.437379885,6.039442121,1.835358208,True,True,True,True,True,True,True
US.BNS,BNS,丰业银行,76.88,72.865,70.915,67.971,9.467261978e+10,733650865,58.35,-2.683,48.55067888,78.99955815,5.510190078,2.749770852,4.331258919,True,True,True,True,True,True,True
US.BORR,BORR,Borr Drilling,6.215,5.679,4.621,4.143,1915469681,121876763.6,300.967,-1.816,1.550002868,6.329951927,9.438281388,22.89547717,11.53753319,True,True,True,True,True,True,True
US.BPOP,BPOP,大众银行,143.07,140.6,129.565,127.358,9233410027,267985013.2,45.902,-6.458,98.05897109,152.9473392,1.756756757,8.516960599,1.732910379,True,True,True,True,True,True,True
US.BRUN,BRUN,Boost Run,29.29,14.148,12.71,12.266,1428727361,262806124.2,189.713,-7.015,10.11000542,31.49970425,107.025728,11.31392604,3.619761944,True,True,True,True,True,True,True
US.BSRR,BSRR,塞拉银行,37.28,34.988,33.16,32.095,487591979.5,10742321.04,44.639,-2.727,25.77451448,38.32512619,6.550817423,5.512665862,3.318273874,True,True,True,True,True,True,True
US.BTE,BTE,Baytex Energy,5.125,4.439,3.546,3.217,3707425000,396925464.1,236.726,-2.194,1.522008992,5.239964828,15.45393107,25.18330513,10.22691949,True,True,True,True,True,True,True
US.BTI,BTI,英美烟草,64.86,58.607,56.591,55.71,1.403491817e+11,1861083530,59.806,-3.61,40.58671139,67.28913788,10.66937397,3.562403916,1.581403698,True,True,True,True,True,True,True
US.BTSG,BTSG,BrightSpring Health Services,57.52,46.464,39.819,36.126,1.115418625e+10,598417657.3,202.577,-1.96,19.01003711,58.66993064,23.79476584,16.68801326,10.22255439,True,True,True,True,True,True,True
US.BUD,BUD,百威英博,80.7,72.888,68.224,65.957,1.574257041e+11,459230089.2,44.162,-1.219,55.97869064,81.69587269,10.71781363,6.83630394,3.4370878,True,True,True,True,True,True,True
US.BVN,BVN,布埃纳文图拉开采,34.43,34.239,30.824,28.038,8744767831,198291996.4,146.909,-20.684,13.94440867,43.40864391,0.557843395,11.07902933,9.93651473,True,True,True,True,True,True,True
US.BVS,BVS,Bioventus,10.475,9.559,8.282,7.964,875026872.9,18920526.55,80.292,-6.883,5.810019302,11.24928853,9.582592321,15.41898092,3.992968358,True,True,True,True,True,True,True
