code,ticker,name,price,ma50,ma150,ma200,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_within_25_pct_of_52w_high
US.ATI,ATI,ATI Inc,163.883,153.59,127.345,114.88,132.721,-4.223,70.42037461,171.1089301,6.701608178,20.60936825,10.85045265,True,True,True,True,True
US.ATKR,ATKR,Atkore,75.86,66.452,66.154,64.676,44.077,-4.011,52.65240115,79.02988884,14.15758743,0.4504640687,2.285237182,True,True,True,True,True
US.ATLCY,ATLCY,ATLAS COPCO AB B,16.835,16.399,16.281,15.734,31.806,-9.725,12.77255967,18.6485738,2.658698701,0.7247712057,3.476547604,True,True,True,True,True
US.ATLKY,ATLKY,ATLAS COPCO AB ADR-CNV INTO 1 SER'A'NPV,19.1,18.698,18.536,17.892,31.33,-12.113,14.54351633,21.7324519,2.149962563,0.8739749676,3.599374022,True,True,True,True,True
US.ATLO,ATLO,Ames National,28,27.936,24.736,23.376,69.978,-5.755,16.47272,29.70979893,0.2290950745,12.93661061,5.817932923,True,True,True,True,True
US.ATNI,ATNI,ATN International,26.94,26.782,23.064,21.097,107.22,-10.637,13.00067561,30.14670501,0.5899484729,16.12036074,9.323600512,True,True,True,True,True
US.ATOM,ATOM,Atomera,9.55,5.997,4.06,3.998,404.89,-16.811,1.891501119,11.47988316,59.24628981,47.70935961,1.550775388,True,True,True,True,True
US.ATRO,ATRO,Astronics,81.665,72.139,64.392,58.005,199.467,-2.733,27.27011657,83.95961631,13.20506245,12.03099764,11.01111973,True,True,True,True,True
US.ATROB,ATROB,ASTRONICS CORP,80,72.911,56.188,50.053,191.12,-3.614,27.48007694,82.99960575,9.722812744,29.76258276,12.25700757,True,True,True,True,True
US.ATS,ATS,ATS Corp,32.21,31.166,29.192,28.825,35.08,-9.775,23.84512881,35.69963979,3.349804274,6.76212661,1.273200347,True,True,True,True,True
